image_id,original_path,source_dataset,original_label,normalized_label,encoded_label,sha256,phash,flagged
img_000001,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1049278-0001.jpeg,dataset_1,NORMAL,NORMAL,0,8aa8b87473026fbe1c33d8070d3ccf49bc707915bf5699e9c57d00ec74afc1e3,c43f4b0f4e2c3ce4,False
img_000002,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1110860-0001.jpeg,dataset_1,NORMAL,NORMAL,0,dc924bea8e2a0eed357b6c45f68edb0ec2ec1e89d56b58c7945fe514e1091bd4,997a871a074e1b4f,False
img_000003,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-11419-0001.jpeg,dataset_1,NORMAL,NORMAL,0,44260268645a29bb52e54627f727d43be0611fdd6b675e836a07c6543fe4720c,d06ec31ec53d9c4c,False
img_000004,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-115218-0001.jpeg,dataset_1,NORMAL,NORMAL,0,6586452700f58d262e1d972be70d7f6abf8d8691056864cec3073a7f9af7bf69,9129c278787b7953,False
img_000005,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1160949-0001.jpeg,dataset_1,NORMAL,NORMAL,0,d295d877bb6fde651365fbc39bd62733fa1143ea6bd9afb545d26140efb9b44f,996e465b47431e47,False
img_000006,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1212407-0001.jpeg,dataset_1,NORMAL,NORMAL,0,0923b42edc04fba6a7f1532024106b6c67cb293a8144ae7bdb06a68e79434f79,d064c61bc56db4ce,False
img_000007,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1228182-0001.jpeg,dataset_1,NORMAL,NORMAL,0,7477fad9f2baa70070d6fc8d76ed7cee3f7ac867e032b7b2d328fdf82e6ef1a8,91a1e61ae9493dcb,False
img_000008,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1283091-0001.jpeg,dataset_1,NORMAL,NORMAL,0,ae3a66286aa299a905c2ce72e8c0c3a2154a2a3d827e546e45c8700a97c39061,d47ca51eab2d3c24,False
img_000009,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1318320-0001.jpeg,dataset_1,NORMAL,NORMAL,0,7e115173a640b8cd3c6e62975799ed3e61ea71452cb487d254a966310c42c9d6,d02bea3a59791ce8,False
img_000010,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1368583-0001.jpeg,dataset_1,NORMAL,NORMAL,0,f9ddce356c7b9e14b16d97b96a7a1a6019db0cb2b89a3feae0431318c1d0213c,887f8f3a092d5c4d,False
img_000011,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1430636-0001.jpeg,dataset_1,NORMAL,NORMAL,0,70a36b1fcc041e6dbc938f1f3b682c2533d25f3fe8bde8634639e78513dcc334,9135c61ad86939ed,False
img_000012,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1520670-0001.jpeg,dataset_1,NORMAL,NORMAL,0,2453213f313221f434a32efa550efa6be95c5c26b954d9616c32036a453a9ba6,902aca5ede591d4b,False
img_000013,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-152130-0001.jpeg,dataset_1,NORMAL,NORMAL,0,70bc01a4326058b25321ad1e2410258c213eb4992f9b93b940dd55ddfe58a952,d035c33dc42db86d,False
img_000014,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-159472-0001.jpeg,dataset_1,NORMAL,NORMAL,0,fae2085830a4c703c36348b3ccc2a5ddfd741c86f12dbef48d4a8a31726ae773,81785e192a7dbda4,False
img_000015,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1608079-0001.jpeg,dataset_1,NORMAL,NORMAL,0,cb666eb093ea63ca1f96d5ffa38c705ee7549bc58c83372d21b538876ea66b90,95da6a253b6585f0,False
img_000016,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1627110-0001.jpeg,dataset_1,NORMAL,NORMAL,0,9d666ee1972f5842bdcf77bc7761e8bf41edc37d8edf55d2aead0ccf83013106,91a7e61ec61a9e43,False
img_000017,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1698651-0001.jpeg,dataset_1,NORMAL,NORMAL,0,ad97d8130406d3a89cbcae06ccf1b862f2799f58136c4658d843943a87a7b34f,d02de63ab868396d,False
img_000018,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-171327-0001.jpeg,dataset_1,NORMAL,NORMAL,0,ee8e1723150b134c363ebe73c684f1b2ca14fef58f3d0c179888089c64466938,94ffaf1f8508864a,False
img_000019,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1759114-0001.jpeg,dataset_1,NORMAL,NORMAL,0,7342e0f983ad367b98e075741376f0805a5515711eabf04eb7e261344095bd8d,9165e63a8d2e386e,False
img_000020,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1763721-0001.jpeg,dataset_1,NORMAL,NORMAL,0,829342c1f6b1e7e675a4c63ad10a0c6487cf0d0aff0d67eb290c17a02fa1d3ca,d47ea73ba53d2804,False
img_000021,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1768815-0001.jpeg,dataset_1,NORMAL,NORMAL,0,305eaaac2c84183b99d7e07f9921288f4c6386dd745ff5b432430c82e44abfe7,9129eb387939399a,False
img_000022,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1771524-0001.jpeg,dataset_1,NORMAL,NORMAL,0,c9e59f4bfd42365640526b8622d6a7a04155eccfb4a6342f2018c193b956f714,917c8e388d3dec8c,False
img_000023,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1784004-0001.jpeg,dataset_1,NORMAL,NORMAL,0,d9b499be5be33bfbe68f6b6e20ebfb8447712e79ef0ac824abc6eecebc4db374,91b7e63ae05ab0ca,False
img_000024,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\NORMAL\NORMAL-1803887-0001.jpeg,dataset_1,NORMAL,NORMAL,0,3bd85f747e467c65bd1e85d2b31df31f328da767857763003a7825214280dfda,986d851ec25f3a4b,False
