image_id,original_path,source_dataset,original_label,normalized_label,encoded_label,sha256,phash,flagged
img_005105,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\train\PNEUMONIA\VIRUS-5051946-0002.jpeg,dataset_1,PNEUMONIA,VIRAL,2,9653f94b4436d1416a31dc9991ea0398760f04eaa6daff0ab55d50eb30e4efcd,d47cc74fc5546c44,False
img_005778,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\train\PNEUMONIA\VIRUS-9438146-0003.jpeg,dataset_1,PNEUMONIA,VIRAL,2,a322ab2f81c7bcf67f6ea69653d382a7822fe9eb619f237415bbe9e503dd624e,9c3a931fd51c3c1a,False
img_000446,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\PNEUMONIA\BACTERIA-9156003-0001.jpeg,dataset_1,PNEUMONIA,BACTERIAL,1,8bed19f38664c54aa99f262a6abeba8cc4f375517be8511f33f53a30e6a2c2a5,d02aeb1b9b4b0f58,False
img_000350,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\test\PNEUMONIA\BACTERIA-5240350-0002.jpeg,dataset_1,PNEUMONIA,BACTERIAL,1,5cc7656071427f80932c4ee0d95621c63d6d0c942b19f5ee4a318fc5e2190918,906b6f1f4618794d,False
img_004802,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\train\PNEUMONIA\VIRUS-2982529-0002.jpeg,dataset_1,PNEUMONIA,VIRAL,2,3d6d05ff6dd760ed7b5b9a3efa4e09ba30274c5e1674fc8c1231174e1fcf6800,d56ce23ba30b9a83,False
img_002486,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\train\PNEUMONIA\BACTERIA-2915422-0001.jpeg,dataset_1,PNEUMONIA,BACTERIAL,1,5f25988a8a8610d6044b0d8e66874016ec61aba34248c3e53a5faad0ffa075c3,986b471fca5a9c4a,False
img_001567,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\train\NORMAL\NORMAL-7252162-0004.jpeg,dataset_1,NORMAL,NORMAL,0,1ef9d2eee363c59db6b9313c5da953777552d13c5930b7d14be60a496de58df8,c46cc73e8d4d2dc4,False
img_003664,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\train\PNEUMONIA\BACTERIA-6896388-0001.jpeg,dataset_1,PNEUMONIA,BACTERIAL,1,4b8f8fc529ad2e356bc7126b429875b933118d3583342294b2932c43da06dd89,c062e74de5c76ce0,False
img_004129,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\train\PNEUMONIA\BACTERIA-8550709-0002.jpeg,dataset_1,PNEUMONIA,BACTERIAL,1,99c3f718de5552cb1ada625774f800fd801a0193e03a70553c00d772519f970d,9a68ac1a879a7997,False
img_004287,e:\Final_Project\Pnuemonia_Detection\data\raw_datasets\dataset_1\train\PNEUMONIA\BACTERIA-9120067-0002.jpeg,dataset_1,PNEUMONIA,BACTERIAL,1,96c398c6eab15ba78c0431d34edbeb415e2c332872391c87e1c9dc62cc8233a5,c42fda1e9a4b954a,False
